class,queryMode,queryLength,fieldNum,tableNum,tableId,projectionNum.account_permission,projectionId.account_permission,projectionNum.address,projectionId.address,projectionNum.broker,projectionId.broker,projectionNum.cash_transaction,projectionId.cash_transaction,projectionNum.charge,projectionId.charge,projectionNum.commission_rate,projectionId.commission_rate,projectionNum.company,projectionId.company,projectionNum.company_competitor,projectionId.company_competitor,projectionNum.customer,projectionId.customer,projectionNum.customer_account,projectionId.customer_account,projectionNum.customer_taxrate,projectionId.customer_taxrate,projectionNum.daily_market,projectionId.daily_market,projectionNum.exchange,projectionId.exchange,projectionNum.financial,projectionId.financial,projectionNum.holding,projectionId.holding,projectionNum.holding_history,projectionId.holding_history,projectionNum.holding_summary,projectionId.holding_summary,projectionNum.industry,projectionId.industry,projectionNum.last_trade,projectionId.last_trade,projectionNum.news_item,projectionId.news_item,projectionNum.news_xref,projectionId.news_xref,projectionNum.sector,projectionId.sector,projectionNum.security,projectionId.security,projectionNum.settlement,projectionId.settlement,projectionNum.status_type,projectionId.status_type,projectionNum.taxrate,projectionId.taxrate,projectionNum.trade,projectionId.trade,projectionNum.trade_history,projectionId.trade_history,projectionNum.trade_request,projectionId.trade_request,projectionNum.trade_type,projectionId.trade_type,projectionNum.watch_item,projectionId.watch_item,projectionNum.watch_list,projectionId.watch_list,projectionNum.zip_code,projectionId.zip_code,whereClauseNum,whereClauseNum.account_permission,whereClauseId.account_permission,whereClauseNum.address,whereClauseId.address,whereClauseNum.broker,whereClauseId.broker,whereClauseNum.cash_transaction,whereClauseId.cash_transaction,whereClauseNum.charge,whereClauseId.charge,whereClauseNum.commission_rate,whereClauseId.commission_rate,whereClauseNum.company,whereClauseId.company,whereClauseNum.company_competitor,whereClauseId.company_competitor,whereClauseNum.customer,whereClauseId.customer,whereClauseNum.customer_account,whereClauseId.customer_account,whereClauseNum.customer_taxrate,whereClauseId.customer_taxrate,whereClauseNum.daily_market,whereClauseId.daily_market,whereClauseNum.exchange,whereClauseId.exchange,whereClauseNum.financial,whereClauseId.financial,whereClauseNum.holding,whereClauseId.holding,whereClauseNum.holding_history,whereClauseId.holding_history,whereClauseNum.holding_summary,whereClauseId.holding_summary,whereClauseNum.industry,whereClauseId.industry,whereClauseNum.last_trade,whereClauseId.last_trade,whereClauseNum.news_item,whereClauseId.news_item,whereClauseNum.news_xref,whereClauseId.news_xref,whereClauseNum.sector,whereClauseId.sector,whereClauseNum.security,whereClauseId.security,whereClauseNum.settlement,whereClauseId.settlement,whereClauseNum.status_type,whereClauseId.status_type,whereClauseNum.taxrate,whereClauseId.taxrate,whereClauseNum.trade,whereClauseId.trade,whereClauseNum.trade_history,whereClauseId.trade_history,whereClauseNum.trade_request,whereClauseId.trade_request,whereClauseNum.trade_type,whereClauseId.trade_type,whereClauseNum.watch_item,whereClauseId.watch_item,whereClauseNum.watch_list,whereClauseId.watch_list,whereClauseNum.zip_code,whereClauseId.zip_code,orderByNum,orderByNum.account_permission,orderById.account_permission,orderByNum.address,orderById.address,orderByNum.broker,orderById.broker,orderByNum.cash_transaction,orderById.cash_transaction,orderByNum.charge,orderById.charge,orderByNum.commission_rate,orderById.commission_rate,orderByNum.company,orderById.company,orderByNum.company_competitor,orderById.company_competitor,orderByNum.customer,orderById.customer,orderByNum.customer_account,orderById.customer_account,orderByNum.customer_taxrate,orderById.customer_taxrate,orderByNum.daily_market,orderById.daily_market,orderByNum.exchange,orderById.exchange,orderByNum.financial,orderById.financial,orderByNum.holding,orderById.holding,orderByNum.holding_history,orderById.holding_history,orderByNum.holding_summary,orderById.holding_summary,orderByNum.industry,orderById.industry,orderByNum.last_trade,orderById.last_trade,orderByNum.news_item,orderById.news_item,orderByNum.news_xref,orderById.news_xref,orderByNum.sector,orderById.sector,orderByNum.security,orderById.security,orderByNum.settlement,orderById.settlement,orderByNum.status_type,orderById.status_type,orderByNum.taxrate,orderById.taxrate,orderByNum.trade,orderById.trade,orderByNum.trade_history,orderById.trade_history,orderByNum.trade_request,orderById.trade_request,orderByNum.trade_type,orderById.trade_type,orderByNum.watch_item,orderById.watch_item,orderByNum.watch_list,orderById.watch_list,orderByNum.zip_code,orderById.zip_code,groupByNum,groupByNum.account_permission,groupById.account_permission,groupByNum.address,groupById.address,groupByNum.broker,groupById.broker,groupByNum.cash_transaction,groupById.cash_transaction,groupByNum.charge,groupById.charge,groupByNum.commission_rate,groupById.commission_rate,groupByNum.company,groupById.company,groupByNum.company_competitor,groupById.company_competitor,groupByNum.customer,groupById.customer,groupByNum.customer_account,groupById.customer_account,groupByNum.customer_taxrate,groupById.customer_taxrate,groupByNum.daily_market,groupById.daily_market,groupByNum.exchange,groupById.exchange,groupByNum.financial,groupById.financial,groupByNum.holding,groupById.holding,groupByNum.holding_history,groupById.holding_history,groupByNum.holding_summary,groupById.holding_summary,groupByNum.industry,groupById.industry,groupByNum.last_trade,groupById.last_trade,groupByNum.news_item,groupById.news_item,groupByNum.news_xref,groupById.news_xref,groupByNum.sector,groupById.sector,groupByNum.security,groupById.security,groupByNum.settlement,groupById.settlement,groupByNum.status_type,groupById.status_type,groupByNum.taxrate,groupById.taxrate,groupByNum.trade,groupById.trade,groupByNum.trade_history,groupById.trade_history,groupByNum.trade_request,groupById.trade_request,groupByNum.trade_type,groupById.trade_type,groupByNum.watch_item,groupById.watch_item,groupByNum.watch_list,groupById.watch_list,groupByNum.zip_code,groupById.zip_code,joinNum,andOrNum,stringValuesLength,stringValueNum,numericValueNum
1,1,251,3,1,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
1,1,386,6,2,1073742848,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
1,1,428,5,3,33808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,512,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,1,5
1,1,298,2,1,67108864,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
1,1,346,6,4,1073775632,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,9217,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
1,1,320,4,3,1140883456,0,0,0,0,1,4,0,0,0,0,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,1,3
1,1,390,5,2,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,1,5
1,1,354,5,2,67109888,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
1,1,334,6,2,1073743872,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,1,4
1,1,300,3,2,67110912,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,1,4
